"var","h","beta_pos","se_pos","beta_neg","se_neg","n_obs","pos_lo","pos_hi","neg_lo","neg_hi","delta","se_delta","delta_lo","delta_hi","asym_sig"
"gdp_socios",0,-0.175752903297323,0.146388738013621,0.000287731049478503,0.0898563205244634,75,-0.46267482980402,0.111169023209374,-0.17583065717847,0.176406119277427,-0.176040634346801,0.171766763244277,-0.512703490305585,0.160622221611982,0
"gdp_socios",1,-0.127859009221282,0.181446064483458,-0.0469539653543367,0.10113303057148,74,-0.48349329560886,0.227775277166296,-0.245174705274438,0.151266774565764,-0.0809050438669452,0.20772713878814,-0.488050235891699,0.326240148157809,0
"gdp_socios",2,-0.145953810673137,0.192275803561658,-0.170373573854383,0.118876175811425,73,-0.522814385653986,0.230906764307713,-0.403370878444776,0.0626237307360108,0.0244197631812461,0.22605647482616,-0.418650927478027,0.467490453840519,0
"gdp_socios",3,-0.271166477010513,0.233061621855607,-0.256943219142629,0.18811129880306,72,-0.727967255847503,0.185634301826476,-0.625641364796627,0.111754926511369,-0.0142232578678842,0.29950555974696,-0.601254154971927,0.572807639236158,0
"gdp_socios",4,-0.480154053056708,0.2623149534213,0.0605082842189216,0.137953366881875,71,-0.994291361762456,0.03398325564904,-0.209880314869553,0.330896883307396,-0.54066233727563,0.296378585971497,-1.12156436577976,0.040239691228504,0
"gdp_agro_pc",0,-3.57683955401083,2.02522003487157,1.17408889265382,0.92551615627822,75,-7.54627082235912,0.392591714337446,-0.639922773651486,2.98810055895914,-4.75092844666466,2.22667832099233,-9.11521795580963,-0.386638937519693,1
"gdp_agro_pc",1,0.831192991889518,1.24089850444181,-0.674265709009405,1.60441175528816,74,-1.60096807681643,3.26335406059547,-3.8189127493742,2.47038133135539,1.50545870089892,2.02829144326765,-2.46999252790567,5.48090992970351,0
"gdp_agro_pc",2,-0.408134492317371,1.3999042255324,0.127695634284093,1.07628278845994,73,-3.15194677436087,2.33567778972612,-1.9818186310974,2.23720989966558,-0.535830126601464,1.7658189265603,-3.99683522265965,2.92517496945672,0
"gdp_agro_pc",3,-0.151792182570324,0.89581098397269,0.273155303989079,1.1610966007209,72,-1.9075817111568,1.60399734601615,-2.00259403342389,2.54890464140205,-0.424947486559403,1.46650013133711,-3.29928774398014,2.44939277086133,0
"gdp_agro_pc",4,1.39427740898925,1.25451954324783,-1.53710488402628,0.969941802852322,71,-1.0645808957765,3.85313571375499,-3.43819081761683,0.363981049564273,2.93138229301552,1.5857510477093,-0.176689760494712,6.03945434652576,0
"gdp_resto_pc",0,-0.339104239177576,0.271587497463954,-0.0185098604459177,0.208927698265874,75,-0.871415734206925,0.193207255851773,-0.428008149047031,0.390988428155195,-0.320594378731658,0.342652231688937,-0.992192752841976,0.351003995378659,0
"gdp_resto_pc",1,-0.0783432523219451,0.166932640119996,-0.420463240846528,0.140484481472467,74,-0.405531226957137,0.248844722313247,-0.695812824532564,-0.145113657160493,0.342119988524583,0.218179732954324,-0.0855122880658915,0.769752265115058,0
"gdp_resto_pc",2,-0.213837309295528,0.264691141952633,-0.270295816528612,0.187900361825741,73,-0.73263194752269,0.304957328931634,-0.638580525707065,0.0979888926498403,0.0564585072330844,0.324604292335196,-0.5797659057439,0.692682920210069,0
"gdp_resto_pc",3,0.0814367743376839,0.248244444951916,-0.549860319494708,0.190252132722612,72,-0.405122337768072,0.56799588644344,-0.922754499631028,-0.176966139358389,0.631297093832392,0.31276377420505,0.0182800963904948,1.24431409127429,1
"gdp_resto_pc",4,-0.227521149707018,0.228281283230045,-0.419326073998557,0.250880540572257,71,-0.674952464837906,0.21991016542387,-0.91105193352018,0.0723997855230673,0.191804924291539,0.33919520915099,-0.473017685644402,0.85662753422748,0
"employment",0,-0.0440866556656519,0.0924063674774786,-0.00843518341469702,0.0937907541840049,75,-0.22520313592151,0.137029824590206,-0.192265061615347,0.175394694785953,-0.0356514722509548,0.131664886438212,-0.29371464966985,0.22241170516794,0
"employment",1,-0.125955349743867,0.12641511696852,0.0461965237713256,0.117038734976576,74,-0.373728979002167,0.121818279514432,-0.183199396782763,0.275592444325414,-0.172151873515193,0.172275498208775,-0.509811850004393,0.165508102974007,0
"employment",2,-0.0145233748438226,0.159357780588782,-0.0719232778892605,0.149497976729218,73,-0.326864624797836,0.297817875110191,-0.364939312278528,0.221092756500007,0.0573999030454379,0.218505256871116,-0.370870400421949,0.485670206512825,0
"employment",3,0.0637079359914882,0.126068683949474,-0.0157661524251859,0.162255549339435,72,-0.183386684549481,0.310802556532458,-0.333787029130478,0.302254724280106,0.079474088416674,0.205475488475375,-0.323257868995062,0.48220604582841,0
"employment",4,-0.167689041937008,0.147350063485754,0.0963582890925202,0.157627286968765,71,-0.456495166369086,0.121117082495069,-0.21259119336626,0.405307771551301,-0.264047331029528,0.215773962299415,-0.686964297136381,0.158869635077324,0
"cons_pc",0,-0.0224951353835371,0.191649751252924,-0.0440030911626009,0.151077303215235,75,-0.398128647839267,0.353138377072193,-0.340114605464462,0.25210842313926,0.0215079557790638,0.244036838821715,-0.456804248311497,0.499820159869625,0
"cons_pc",1,-0.382984179161956,0.272529035590987,-0.0713530843030761,0.154016230184259,74,-0.917141088920292,0.151172730596379,-0.373224895464224,0.230518726858072,-0.31163109485888,0.313038455146208,-0.925186466945448,0.301924277227687,0
"cons_pc",2,-0.0238477750439301,0.215770752934869,-0.166793871026884,0.186376893234737,73,-0.446758450796273,0.399062900708413,-0.532092581766968,0.1985048397132,0.142946095982954,0.285119911886057,-0.415888931313716,0.701781123279625,0
"cons_pc",3,-0.45004110125794,0.32675756414527,-0.377340595616656,0.246919671581811,72,-1.09048592698267,0.19040372446679,-0.861303151917005,0.106621960683694,-0.072700505641284,0.409560532693544,-0.875439149720631,0.730038138438063,0
"cons_pc",4,-0.646927242716049,0.366002616643624,-0.542364142098933,0.408735007974452,71,-1.36429237133755,0.0704378859054545,-1.34348475772886,0.258756473530993,-0.104563100617116,0.5486549208144,-1.17992674541334,0.970800544179108,0
"invest_pc",0,-0.365234102968465,0.953488380204586,1.40558903757837,0.789744457092228,75,-2.23407132816945,1.50360312223252,-0.142310098322402,2.95348817347913,-1.77082314054683,1.23807770301103,-4.19745543844845,0.655809157354784,0
"invest_pc",1,-0.147800399008753,0.991503264967976,-1.18293536210958,0.584456922867421,74,-2.09114679834599,1.79554600032848,-2.32847093092973,-0.0373997932894379,1.03513496310083,1.15094249166925,-1.22071232057089,3.29098224677255,0
"invest_pc",2,-2.51643544878309,1.25452607673933,0.969967740172928,0.630775101373995,73,-4.97530655919217,-0.0575643383740072,-0.266351458520102,2.20628693886596,-3.48640318895602,1.4041769495802,-6.2385900101332,-0.734216367778834,1
"invest_pc",3,-0.370626084337404,0.721705504266201,0.0306873240033724,0.734775031160606,72,-1.78516887269916,1.04391670402435,-1.40947173707141,1.47084638507816,-0.401313408340777,1.02992872632294,-2.41997371193375,1.61734689525219,0
"invest_pc",4,-1.50994259385599,1.36485475742583,0.416528123171757,0.638065590130166,71,-4.18505791841063,1.16517273069864,-0.834080433483368,1.66713667982688,-1.92647071702775,1.50663738377092,-4.87947998921876,1.02653855516326,0
"reer",0,0.154832256656716,0.457310924276838,0.186957472762442,0.452200098726892,75,-0.741497154925885,1.05116166823932,-0.699354720742267,1.07326966626715,-0.0321252161057257,0.643131565662537,-1.2926630848043,1.22841265259285,0
"reer",1,-0.147334869568018,0.483140513911699,0.630720836243027,0.504197065661495,74,-1.09429027683495,0.799620537698913,-0.357505412453503,1.61894708493956,-0.778055705811045,0.698311848105503,-2.14674692809783,0.59063551647574,0
"reer",2,0.114842788702794,0.411980007744864,0.400300941993432,0.341651466732645,73,-0.69263802647714,0.922323603882727,-0.269335932802553,1.06993781678942,-0.285458153290638,0.535213276649623,-1.3344761755239,0.763559868942623,0
"reer",3,0.642558400545555,0.508868205862536,-0.293268172493709,0.36590907003082,72,-0.354823282945016,1.63994008403613,-1.01044994975412,0.423913604766698,0.935826573039264,0.626766542237679,-0.292635849746587,2.16428899582511,0
"reer",4,0.898341755343731,0.419962604933995,-0.189983068204463,0.318484522609267,71,0.0752150496731007,1.72146846101436,-0.814212732518627,0.4342465961097,1.08832482354819,0.527068288445245,0.0552709781955147,2.12137866890087,1
